ticker,logoid,svg_file
HPQ,hp,hp.svg
CHD,church-and-dwight,church-and-dwight.svg
NI,nisource,nisource.svg
OMC,omnicom-group,omnicom-group.svg
EXE,chesapeake-energy,chesapeake-energy.svg
LUV,southwest,southwest.svg
RL,ralph-lauren,ralph-lauren.svg
FFIV,f5-network,f5-network.svg
BRO,brown-and-brown,brown-and-brown.svg
VLTO,veralto,veralto.svg
DRI,darden,darden.svg
FSLR,first-solar,first-solar.svg
STZ,constellation-brands,constellation-brands.svg
FOXA,fox-corporation,fox-corporation.svg
FOX,fox-corporation,fox-corporation.svg
GPN,global-payments,global-payments.svg
SNA,snap-on,snap-on.svg
FIS,fidelity-information-services,fidelity-information-services.svg
STE,steris,steris.svg
ULTA,ulta-beauty,ulta-beauty.svg
PKG,packaging-of-america,packaging-of-america.svg
LYB,lyondellbasell,lyondellbasell.svg
IP,international-paper,international-paper.svg
SMCI,super-micro-computer,super-micro-computer.svg
CTSH,cognizant,cognizant.svg
EVRG,evergy,evergy.svg
VTRS,viatris,viatris.svg
AMCR,amcor,amcor.svg
CF,cf-industries,cf-industries.svg
TSN,tyson-foods,tyson-foods.svg
EFX,equifax,equifax.svg
LNT,alliant-energy,alliant-energy.svg
GIS,general-mills,general-mills.svg
LEN,lennar,lennar.svg
SBAC,sba-communications,sba-communications.svg
ROL,rollins,rollins.svg
ESS,essex-property-trust,essex-property-trust.svg
IFF,international-flavors-and-fragrances,international-flavors-and-fragrances.svg
DD,,
LII,lennox-international,lennox-international.svg
FTV,fortive,fortive.svg
BBY,best-buy,best-buy.svg
INVH,invitation-homes,invitation-homes.svg
AKAM,akamai,akamai.svg
KIM,kimco-realty-hc,kimco-realty-hc.svg
ZBH,zimmer-biomet,zimmer-biomet.svg
CHTR,charter,charter.svg
WY,weyerhaeuserdrn,weyerhaeuserdrn.svg
BEN,franklin-resources,franklin-resources.svg
CDW,cdw,cdw.svg
BR,broadridge,broadridge.svg
GPC,gpc,gpc.svg
HST,host-hotels,host-hotels.svg
BALL,ball,ball.svg
TXT,textron,textron.svg
NVR,nvr,nvr.svg
IEX,idex,idex.svg
NDSN,nordson,nordson.svg
DOC,healthpeak-properties,healthpeak-properties.svg
TSCO,tractor-supply,tractor-supply.svg
J,jacobs-engineering,jacobs-engineering.svg
MAS,masco,masco.svg
MAA,mid-america-apartment-communities,mid-america-apartment-communities.svg
CPT,camden-property-trust,camden-property-trust.svg
NWSA,news-corporation,news-corporation.svg
NWS,news-corporation,news-corporation.svg
GEN,nortonlifelock,nortonlifelock.svg
DVA,davita,davita.svg
REG,regency-centers,regency-centers.svg
EG,everest-re,everest-re.svg
DECK,deckers-outdoor,deckers-outdoor.svg
LDOS,leidos-holdings,leidos-holdings.svg
ALB,albemarle,albemarle.svg
COO,cooper-cos,cooper-cos.svg
HRL,hormel-foods,hormel-foods.svg
MKC,mccormick,mccormick.svg
SWK,stanley-black-and-decker,stanley-black-and-decker.svg
AIZ,assurant,assurant.svg
SOLV,solventum,solventum.svg
IVZ,invesco,invesco.svg
ALLE,allegion-plc,allegion-plc.svg
GL,globe-life,globe-life.svg
APA,apa-corporation,apa-corporation.svg
PTC,ptc,ptc.svg
LULU,lululemon-athletica,lululemon-athletica.svg
PNW,pinnacle-west-capital,pinnacle-west-capital.svg
UDR,udr,udr.svg
RVTY,perkinelmer,perkinelmer.svg
SJM,smucker,smucker.svg
GNRC,generac,generac.svg
HAS,hasbro,hasbro.svg
ZBRA,zebra,zebra.svg
TYL,tyler-technologies,tyler-technologies.svg
APTV,aptiv,aptiv.svg
AVY,avery-dennison,avery-dennison.svg
ALGN,align-technology,align-technology.svg
BF.B,brown-forman,brown-forman.svg
TRMB,trimble,trimble.svg
GDDY,godaddy,godaddy.svg
MGM,mgm-resorts,mgm-resorts.svg
HII,huntington-ingalls-industries,huntington-ingalls-industries.svg
CLX,clorox,clorox.svg
TECH,bio-techne,bio-techne.svg
BAX,baxter,baxter.svg
CSGP,costar-group,costar-group.svg
PODD,insulet,insulet.svg
CRL,charles-river-laboratories,charles-river-laboratories.svg
BXP,boston-prop-drn,boston-prop-drn.svg
FRT,federal-realty-investment-trust,federal-realty-investment-trust.svg
AES,aes,aes.svg
DPZ,dominos-pizza,dominos-pizza.svg
JKHY,henry-jack-and-associates,henry-jack-and-associates.svg
PNR,pentair,pentair.svg
WYNN,wynn-resorts,wynn-resorts.svg
ERIE,erie-indemnity,erie-indemnity.svg
PSKY,viacomcbs,viacomcbs.svg
HSIC,henry-schein,henry-schein.svg
SWKS,skyworks-solutions,skyworks-solutions.svg
UHS,universal-health-services,universal-health-services.svg
ARE,alexandria-real-estate-equities,alexandria-real-estate-equities.svg
IT,gartner,gartner.svg
FDS,factset-research-systems,factset-research-systems.svg
NCLH,norwegian-cruise-line,norwegian-cruise-line.svg
AOS,smith-a-o,smith-a-o.svg
TTD,the-trade-desk,the-trade-desk.svg
TAP,molson-coors,molson-coors.svg
BLDR,builders-firstsource,builders-firstsource.svg
MOS,mosaic,mosaic.svg
SPCX,spacex,spacex.svg
ASML,asml,asml.svg
ARM,arm,arm.svg
SHOP,shopify,shopify.svg
PDD,pinduoduo,pinduoduo.svg
MELI,mercadolibre,mercadolibre.svg
ALAB,astera-labs,astera-labs.svg
NBIS,nebius-group-nv,nebius-group-nv.svg
CCEP,coca-cola,coca-cola.svg
FER,ferrovial,ferrovial.svg
CRWV,coreweave,coreweave.svg
RKLB,rocket-lab,rocket-lab.svg
TRI,thomson-reuters,thomson-reuters.svg
ALNY,alnylam-pharmaceuticals,alnylam-pharmaceuticals.svg
MSTR,strategy-cad-hedged-cibc-cdr,strategy-cad-hedged-cibc-cdr.svg
